question,answer
search for where are the best beaches right now.,koh rong and koh rong samloem have the best beaches
hi how to get to koh rong?,you can take a speed ferry from sihanoukville
i am curious about what to do in kampot thank you.,visit pepper farms and take a river cruise
any idea where where is bokor mountain right now.,it is a cool hill station near kampot city
give me details on is kep famous for food thanks.,yes kep is famous for fresh blue crab with pepper
can you explain what is rabbit island right now.,koh tonsay is a quiet island near kep
hi where is otres beach thank you.,it is a quieter beach area in sihanoukville
find is sihanoukville good for islands thanks.,yes it is the main gateway to koh rong and koh rong samloem
please tell me what is kampot pepper specifically.,it is world famous high quality pepper from cambodia
hey can i swim in sihanoukville right now.,"yes, victory beach and sokha beach are popular spots"
tell me something about where can i see dolphins right now.,you can see freshwater dolphins in kratie
can you tell me what to do in mondulkiri specifically.,visit elephant sanctuaries and busra waterfall
looking for is mondulkiri cold thanks.,it is much cooler than the rest of cambodia
search for where is yeak laom lake right now.,it is a volcanic lake in rattanakiri province
briefly explain what to see in kratie please.,the irrawaddy dolphins and kampi rapids
search for where is preah vihear temple right now.,it is on a cliff in the north near the thai border
give me details on is sambor prei kuk old thank you.,yes it is a pre-angkorian site in kampong thom
find what is battambang known for right now.,it is famous for the bamboo train and caves
info on can i see bats in battambang?,yes millions of bats fly out of caves at sunset
what about what is phnom chi specifically.,it is a mountain for hiking in kampong thom
teach me about where is kapi falls specifically.,it is a scenic spot in mondulkiri
hi best time to visit cambodia,november to february is the best time
hi what currency is used thank you.,the currency is riel and us dollar
give me info on do people speak english please.,many people speak basic english in tourist areas
hi what food should i try thanks.,you should try amok and lok lak
info on is cambodia safe,it is generally safe for tourists
can you tell me how to travel in cambodia specifically.,you can use tuk tuk or taxi
hi do i need a visa right now.,most tourists need a visa or an e-visa
could you explain what is the water festival?,bon om touk is a festival with boat racing
tell me when is khmer new year specifically.,it is usually celebrated in mid-april
info on is the water safe to drink if you can.,it is better to drink bottled or filtered water
hey how to say hello in khmer thank you.,you say sarsday or chum reap suor
any idea where how to say thank you right now.,you say orkun in khmer
any idea where is there grab in cambodia right now.,yes grab and passapp are widely used
find what is the local beer thank you.,angkor beer and cambodia beer are popular
tell me can i wear shorts in temples if you can.,you should cover your knees and shoulders
i am curious about is cambodia expensive thank you.,it is very affordable for most travelers
info on internet in cambodia for me.,wifi is common and local sim cards are cheap
any idea where what is the time zone,cambodia is gmt plus seven
info on where is angkor wat right now.,angkor wat is in siem reap cambodia
what is angkor wat immediately.,it is a famous temple in cambodia
do you know what to do in siem reap,you can visit temples and night market
give me details on where is bayon temple thank you.,bayon temple is in the center of angkor thom
give me info on what is ta prohm,it is the jungle temple with giant trees in siem reap
could you explain how much is angkor pass thank you.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
give me info on where to watch sunset in siem reap specifically.,phnom bakheng is the most popular spot for sunset
teach me about what is pub street thank you.,it is the nightlife hub of siem reap with bars and food
looking for is tonle sap near siem reap thank you.,yes it is the largest freshwater lake near siem reap
i am curious about best time to visit temples thanks.,early morning at sunrise is the best time
where is banteay srei if you can.,it is a pink sandstone temple 35km from siem reap
can you tell me what is angkor thom?,it was the last capital city of the khmer empire
i want to know where is koh ker?,it is a pyramid temple north of siem reap
looking for is beng mealea far immediately.,it is about 60km east of siem reap city
i want to know can i visit preah khan right now.,yes preah khan is a large monastic complex in angkor
give me details on what is the terrace of elephants thanks.,it is part of the ancient royal city of angkor thom
do you know how do i get to angkor wat?,"you can take a tuk tuk, car, or bicycle from siem reap city"
find is angkor wat open today for me.,angkor wat is open daily from 5 am to 5:30 pm
where is phnom penh thanks.,phnom penh is the capital city of cambodia
i want to know what to see in phnom penh for me.,visit the royal palace and the national museum
any idea where what is the silver pagoda for me.,it is a temple in the royal palace with a silver floor
tell me where are the killing fields today.,choeung ek is about 15 kilometers from phnom penh
hey what is s21 prison,tuol sleng is a former prison museum in phnom penh
do you know where is wat phnom?,it is a hilltop temple that gives the capital its name
looking for best place for shopping in phnom penh immediately.,central market and russian market are the best
do you know where is the riverside?,it is the sisowath quay area along the tonle sap river
could you explain how to get around phnom penh?,passapp or grab for tuk tuks is the easiest way
info on is phnom penh safe at night,it is generally safe but watch your belongings
tell me where is the independence monument thanks.,it is at the intersection of norodom and sihanouk boulevards
i want to know where are the best beaches thank you.,koh rong and koh rong samloem have the best beaches
give me info on how to get to koh rong please.,you can take a speed ferry from sihanoukville
briefly explain where is bokor mountain thank you.,it is a cool hill station near kampot city
what about is kep famous for food specifically.,yes kep is famous for fresh blue crab with pepper
hey what is rabbit island,koh tonsay is a quiet island near kep
hey where is otres beach today.,it is a quieter beach area in sihanoukville
hi is sihanoukville good for islands please.,yes it is the main gateway to koh rong and koh rong samloem
can you tell me what is kampot pepper immediately.,it is world famous high quality pepper from cambodia
briefly explain can i swim in sihanoukville if you can.,"yes, victory beach and sokha beach are popular spots"
any idea where where can i see dolphins today.,you can see freshwater dolphins in kratie
can you tell me what to do in mondulkiri?,visit elephant sanctuaries and busra waterfall
find is mondulkiri cold for me.,it is much cooler than the rest of cambodia
search for where is yeak laom lake if you can.,it is a volcanic lake in rattanakiri province
tell me something about what to see in kratie please.,the irrawaddy dolphins and kampi rapids
give me details on where is preah vihear temple,it is on a cliff in the north near the thai border
tell me is sambor prei kuk old thank you.,yes it is a pre-angkorian site in kampong thom
do you know what is battambang known for thank you.,it is famous for the bamboo train and caves
do you know where is the killing caves please.,they are located on phnom sampeau in battambang
tell me something about can i see bats in battambang thanks.,yes millions of bats fly out of caves at sunset
can you tell me what is phnom chi thanks.,it is a mountain for hiking in kampong thom
search for where is kapi falls thanks.,it is a scenic spot in mondulkiri
what about best time to visit cambodia?,november to february is the best time
can you explain what currency is used please.,the currency is riel and us dollar
tell me do people speak english thanks.,many people speak basic english in tourist areas
i want to know what food should i try,you should try amok and lok lak
info on is cambodia safe specifically.,it is generally safe for tourists
tell me something about how to travel in cambodia?,you can use tuk tuk or taxi
i am curious about do i need a visa if you can.,most tourists need a visa or an e-visa
could you explain what is the water festival right now.,bon om touk is a festival with boat racing
give me info on when is khmer new year?,it is usually celebrated in mid-april
briefly explain is the water safe to drink for me.,it is better to drink bottled or filtered water
tell me how to say hello in khmer right now.,you say sarsday or chum reap suor
do you know how to say thank you specifically.,you say orkun in khmer
what about is there grab in cambodia thanks.,yes grab and passapp are widely used
i am curious about is cambodia expensive thanks.,it is very affordable for most travelers
teach me about what is the rainy season immediately.,it runs from may to october
can you explain internet in cambodia today.,wifi is common and local sim cards are cheap
looking for what is the time zone specifically.,cambodia is gmt plus seven
any idea where where is angkor wat specifically.,angkor wat is in siem reap cambodia
hi what is angkor wat thanks.,it is a famous temple in cambodia
please tell me what to do in siem reap thank you.,you can visit temples and night market
teach me about where is bayon temple right now.,bayon temple is in the center of angkor thom
tell me something about how much is angkor pass immediately.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
briefly explain what is pub street?,it is the nightlife hub of siem reap with bars and food
what about is tonle sap near siem reap for me.,yes it is the largest freshwater lake near siem reap
could you explain best time to visit temples,early morning at sunrise is the best time
i am curious about where is banteay srei today.,it is a pink sandstone temple 35km from siem reap
tell me something about what is angkor thom for me.,it was the last capital city of the khmer empire
what about where is koh ker if you can.,it is a pyramid temple north of siem reap
search for is beng mealea far please.,it is about 60km east of siem reap city
could you explain can i visit preah khan thanks.,yes preah khan is a large monastic complex in angkor
do you know what is the terrace of elephants thanks.,it is part of the ancient royal city of angkor thom
can you explain how do i get to angkor wat right now.,"you can take a tuk tuk, car, or bicycle from siem reap city"
what about is angkor wat open today right now.,angkor wat is open daily from 5 am to 5:30 pm
give me details on where is phnom penh thank you.,phnom penh is the capital city of cambodia
can you tell me what to see in phnom penh immediately.,visit the royal palace and the national museum
teach me about where is the royal palace immediately.,it is located along the riverside in phnom penh
hi what is the silver pagoda right now.,it is a temple in the royal palace with a silver floor
briefly explain where are the killing fields thank you.,choeung ek is about 15 kilometers from phnom penh
give me info on what is s21 prison?,tuol sleng is a former prison museum in phnom penh
info on where is wat phnom thank you.,it is a hilltop temple that gives the capital its name
tell me where is the riverside for me.,it is the sisowath quay area along the tonle sap river
what about how to get around phnom penh right now.,passapp or grab for tuk tuks is the easiest way
do you know is phnom penh safe at night please.,it is generally safe but watch your belongings
teach me about where is the independence monument immediately.,it is at the intersection of norodom and sihanouk boulevards
could you explain where are the best beaches thanks.,koh rong and koh rong samloem have the best beaches
what about how to get to koh rong for me.,you can take a speed ferry from sihanoukville
looking for what to do in kampot?,visit pepper farms and take a river cruise
hey where is bokor mountain please.,it is a cool hill station near kampot city
give me details on is kep famous for food specifically.,yes kep is famous for fresh blue crab with pepper
any idea where what is rabbit island for me.,koh tonsay is a quiet island near kep
hey where is otres beach thanks.,it is a quieter beach area in sihanoukville
search for is sihanoukville good for islands for me.,yes it is the main gateway to koh rong and koh rong samloem
what is kampot pepper thanks.,it is world famous high quality pepper from cambodia
do you know can i swim in sihanoukville immediately.,"yes, victory beach and sokha beach are popular spots"
any idea where where can i see dolphins,you can see freshwater dolphins in kratie
i want to know what to do in mondulkiri thank you.,visit elephant sanctuaries and busra waterfall
find is mondulkiri cold right now.,it is much cooler than the rest of cambodia
tell me where is yeak laom lake?,it is a volcanic lake in rattanakiri province
hey what to see in kratie if you can.,the irrawaddy dolphins and kampi rapids
i am curious about where is preah vihear temple?,it is on a cliff in the north near the thai border
i am curious about is sambor prei kuk old thanks.,yes it is a pre-angkorian site in kampong thom
i am curious about what is battambang known for right now.,it is famous for the bamboo train and caves
where is the killing caves,they are located on phnom sampeau in battambang
could you explain can i see bats in battambang specifically.,yes millions of bats fly out of caves at sunset
can you explain what is phnom chi today.,it is a mountain for hiking in kampong thom
any idea where where is kapi falls?,it is a scenic spot in mondulkiri
find best time to visit cambodia specifically.,november to february is the best time
do you know what currency is used if you can.,the currency is riel and us dollar
can you tell me do people speak english?,many people speak basic english in tourist areas
search for what food should i try specifically.,you should try amok and lok lak
can you explain is cambodia safe please.,it is generally safe for tourists
what about how to travel in cambodia immediately.,you can use tuk tuk or taxi
give me info on do i need a visa immediately.,most tourists need a visa or an e-visa
briefly explain what is the water festival today.,bon om touk is a festival with boat racing
when is khmer new year please.,it is usually celebrated in mid-april
give me info on is the water safe to drink right now.,it is better to drink bottled or filtered water
teach me about how to say hello in khmer today.,you say sarsday or chum reap suor
could you explain is there grab in cambodia if you can.,yes grab and passapp are widely used
could you explain what is the local beer please.,angkor beer and cambodia beer are popular
do you know can i wear shorts in temples thanks.,you should cover your knees and shoulders
looking for is cambodia expensive,it is very affordable for most travelers
i am curious about what is the rainy season for me.,it runs from may to october
find internet in cambodia for me.,wifi is common and local sim cards are cheap
can you tell me what is the time zone immediately.,cambodia is gmt plus seven
can you tell me where is angkor wat thank you.,angkor wat is in siem reap cambodia
find what is angkor wat thank you.,it is a famous temple in cambodia
tell me something about what is ta prohm today.,it is the jungle temple with giant trees in siem reap
search for how much is angkor pass if you can.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
i want to know where to watch sunset in siem reap immediately.,phnom bakheng is the most popular spot for sunset
i want to know what is pub street today.,it is the nightlife hub of siem reap with bars and food
can you explain is tonle sap near siem reap please.,yes it is the largest freshwater lake near siem reap
i want to know best time to visit temples immediately.,early morning at sunrise is the best time
give me info on where is banteay srei for me.,it is a pink sandstone temple 35km from siem reap
info on what is angkor thom if you can.,it was the last capital city of the khmer empire
give me details on where is koh ker right now.,it is a pyramid temple north of siem reap
could you explain is beng mealea far if you can.,it is about 60km east of siem reap city
search for can i visit preah khan?,yes preah khan is a large monastic complex in angkor
i am curious about what is the terrace of elephants if you can.,it is part of the ancient royal city of angkor thom
looking for how do i get to angkor wat,"you can take a tuk tuk, car, or bicycle from siem reap city"
hi is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
give me details on what to see in phnom penh today.,visit the royal palace and the national museum
info on what is the silver pagoda immediately.,it is a temple in the royal palace with a silver floor
please tell me where are the killing fields for me.,choeung ek is about 15 kilometers from phnom penh
any idea where what is s21 prison specifically.,tuol sleng is a former prison museum in phnom penh
please tell me where is wat phnom if you can.,it is a hilltop temple that gives the capital its name
best place for shopping in phnom penh right now.,central market and russian market are the best
hey where is the riverside,it is the sisowath quay area along the tonle sap river
do you know how to get around phnom penh please.,passapp or grab for tuk tuks is the easiest way
give me details on is phnom penh safe at night specifically.,it is generally safe but watch your belongings
give me details on where is the independence monument today.,it is at the intersection of norodom and sihanouk boulevards
any idea where where are the best beaches thanks.,koh rong and koh rong samloem have the best beaches
please tell me how to get to koh rong today.,you can take a speed ferry from sihanoukville
i want to know what to do in kampot right now.,visit pepper farms and take a river cruise
find where is bokor mountain specifically.,it is a cool hill station near kampot city
i want to know is kep famous for food right now.,yes kep is famous for fresh blue crab with pepper
hi what is rabbit island for me.,koh tonsay is a quiet island near kep
search for where is otres beach for me.,it is a quieter beach area in sihanoukville
please tell me is sihanoukville good for islands right now.,yes it is the main gateway to koh rong and koh rong samloem
could you explain can i swim in sihanoukville if you can.,"yes, victory beach and sokha beach are popular spots"
do you know where can i see dolphins thank you.,you can see freshwater dolphins in kratie
do you know what to do in mondulkiri today.,visit elephant sanctuaries and busra waterfall
give me details on is mondulkiri cold right now.,it is much cooler than the rest of cambodia
can you explain where is yeak laom lake right now.,it is a volcanic lake in rattanakiri province
any idea where what to see in kratie right now.,the irrawaddy dolphins and kampi rapids
looking for where is preah vihear temple,it is on a cliff in the north near the thai border
i want to know is sambor prei kuk old right now.,yes it is a pre-angkorian site in kampong thom
what is battambang known for if you can.,it is famous for the bamboo train and caves
hi where is the killing caves today.,they are located on phnom sampeau in battambang
hi can i see bats in battambang,yes millions of bats fly out of caves at sunset
looking for what is phnom chi specifically.,it is a mountain for hiking in kampong thom
any idea where where is kapi falls specifically.,it is a scenic spot in mondulkiri
i am curious about best time to visit cambodia thanks.,november to february is the best time
looking for what currency is used immediately.,the currency is riel and us dollar
what about do people speak english today.,many people speak basic english in tourist areas
i am curious about is cambodia safe,it is generally safe for tourists
i want to know how to travel in cambodia immediately.,you can use tuk tuk or taxi
i want to know do i need a visa for me.,most tourists need a visa or an e-visa
tell me what is the water festival,bon om touk is a festival with boat racing
any idea where when is khmer new year for me.,it is usually celebrated in mid-april
looking for how to say hello in khmer today.,you say sarsday or chum reap suor
i want to know how to say thank you right now.,you say orkun in khmer
hey is there grab in cambodia,yes grab and passapp are widely used
teach me about what is the local beer thank you.,angkor beer and cambodia beer are popular
tell me something about can i wear shorts in temples for me.,you should cover your knees and shoulders
i am curious about is cambodia expensive please.,it is very affordable for most travelers
can you explain what is the rainy season thanks.,it runs from may to october
find internet in cambodia please.,wifi is common and local sim cards are cheap
search for what is the time zone please.,cambodia is gmt plus seven
could you explain where is angkor wat please.,angkor wat is in siem reap cambodia
any idea where what is angkor wat right now.,it is a famous temple in cambodia
what to do in siem reap right now.,you can visit temples and night market
briefly explain where is bayon temple for me.,bayon temple is in the center of angkor thom
please tell me what is ta prohm?,it is the jungle temple with giant trees in siem reap
give me info on how much is angkor pass right now.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
can you explain where to watch sunset in siem reap if you can.,phnom bakheng is the most popular spot for sunset
any idea where what is pub street immediately.,it is the nightlife hub of siem reap with bars and food
please tell me is tonle sap near siem reap for me.,yes it is the largest freshwater lake near siem reap
what about best time to visit temples?,early morning at sunrise is the best time
hi where is banteay srei today.,it is a pink sandstone temple 35km from siem reap
can you explain what is angkor thom?,it was the last capital city of the khmer empire
can you tell me where is koh ker for me.,it is a pyramid temple north of siem reap
can you explain is beng mealea far for me.,it is about 60km east of siem reap city
info on can i visit preah khan for me.,yes preah khan is a large monastic complex in angkor
briefly explain what is the terrace of elephants,it is part of the ancient royal city of angkor thom
looking for how do i get to angkor wat?,"you can take a tuk tuk, car, or bicycle from siem reap city"
info on where is phnom penh immediately.,phnom penh is the capital city of cambodia
briefly explain what to see in phnom penh thanks.,visit the royal palace and the national museum
looking for where is the royal palace?,it is located along the riverside in phnom penh
info on what is the silver pagoda,it is a temple in the royal palace with a silver floor
hi where are the killing fields thanks.,choeung ek is about 15 kilometers from phnom penh
give me details on what is s21 prison?,tuol sleng is a former prison museum in phnom penh
do you know best place for shopping in phnom penh immediately.,central market and russian market are the best
i want to know where is the riverside today.,it is the sisowath quay area along the tonle sap river
give me info on how to get around phnom penh if you can.,passapp or grab for tuk tuks is the easiest way
info on is phnom penh safe at night?,it is generally safe but watch your belongings
any idea where where is the independence monument thank you.,it is at the intersection of norodom and sihanouk boulevards
hi where are the best beaches for me.,koh rong and koh rong samloem have the best beaches
give me details on how to get to koh rong today.,you can take a speed ferry from sihanoukville
can you explain what to do in kampot?,visit pepper farms and take a river cruise
search for where is bokor mountain please.,it is a cool hill station near kampot city
is kep famous for food immediately.,yes kep is famous for fresh blue crab with pepper
i am curious about what is rabbit island?,koh tonsay is a quiet island near kep
teach me about where is otres beach right now.,it is a quieter beach area in sihanoukville
i want to know is sihanoukville good for islands thanks.,yes it is the main gateway to koh rong and koh rong samloem
briefly explain what is kampot pepper thanks.,it is world famous high quality pepper from cambodia
can you tell me can i swim in sihanoukville for me.,"yes, victory beach and sokha beach are popular spots"
any idea where what to do in mondulkiri today.,visit elephant sanctuaries and busra waterfall
teach me about is mondulkiri cold for me.,it is much cooler than the rest of cambodia
tell me something about where is yeak laom lake?,it is a volcanic lake in rattanakiri province
info on what to see in kratie if you can.,the irrawaddy dolphins and kampi rapids
hey where is preah vihear temple?,it is on a cliff in the north near the thai border
looking for is sambor prei kuk old thank you.,yes it is a pre-angkorian site in kampong thom
teach me about what is battambang known for today.,it is famous for the bamboo train and caves
could you explain where is the killing caves right now.,they are located on phnom sampeau in battambang
teach me about can i see bats in battambang immediately.,yes millions of bats fly out of caves at sunset
do you know what is phnom chi thank you.,it is a mountain for hiking in kampong thom
can you explain where is kapi falls today.,it is a scenic spot in mondulkiri
hey best time to visit cambodia if you can.,november to february is the best time
could you explain what currency is used right now.,the currency is riel and us dollar
hey do people speak english today.,many people speak basic english in tourist areas
hey what food should i try immediately.,you should try amok and lok lak
looking for is cambodia safe specifically.,it is generally safe for tourists
briefly explain how to travel in cambodia for me.,you can use tuk tuk or taxi
do you know do i need a visa thanks.,most tourists need a visa or an e-visa
what is the water festival for me.,bon om touk is a festival with boat racing
briefly explain when is khmer new year specifically.,it is usually celebrated in mid-april
hi is the water safe to drink,it is better to drink bottled or filtered water
please tell me how to say thank you right now.,you say orkun in khmer
do you know is there grab in cambodia thanks.,yes grab and passapp are widely used
info on what is the local beer for me.,angkor beer and cambodia beer are popular
tell me can i wear shorts in temples please.,you should cover your knees and shoulders
briefly explain is cambodia expensive specifically.,it is very affordable for most travelers
can you tell me what is the rainy season for me.,it runs from may to october
give me info on internet in cambodia if you can.,wifi is common and local sim cards are cheap
looking for what is the time zone right now.,cambodia is gmt plus seven
tell me where is angkor wat?,angkor wat is in siem reap cambodia
briefly explain what is angkor wat please.,it is a famous temple in cambodia
do you know what to do in siem reap?,you can visit temples and night market
search for where is bayon temple today.,bayon temple is in the center of angkor thom
teach me about what is ta prohm?,it is the jungle temple with giant trees in siem reap
briefly explain how much is angkor pass thanks.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
briefly explain where to watch sunset in siem reap today.,phnom bakheng is the most popular spot for sunset
do you know what is pub street if you can.,it is the nightlife hub of siem reap with bars and food
could you explain is tonle sap near siem reap thanks.,yes it is the largest freshwater lake near siem reap
hi best time to visit temples thank you.,early morning at sunrise is the best time
do you know where is banteay srei today.,it is a pink sandstone temple 35km from siem reap
please tell me what is angkor thom if you can.,it was the last capital city of the khmer empire
what about is beng mealea far today.,it is about 60km east of siem reap city
can you explain can i visit preah khan,yes preah khan is a large monastic complex in angkor
could you explain what is the terrace of elephants thanks.,it is part of the ancient royal city of angkor thom
do you know how do i get to angkor wat specifically.,"you can take a tuk tuk, car, or bicycle from siem reap city"
please tell me is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
search for where is phnom penh if you can.,phnom penh is the capital city of cambodia
search for what to see in phnom penh thank you.,visit the royal palace and the national museum
i am curious about where is the royal palace thank you.,it is located along the riverside in phnom penh
tell me something about what is the silver pagoda,it is a temple in the royal palace with a silver floor
hi where are the killing fields,choeung ek is about 15 kilometers from phnom penh
i want to know what is s21 prison thank you.,tuol sleng is a former prison museum in phnom penh
give me info on where is wat phnom specifically.,it is a hilltop temple that gives the capital its name
give me details on best place for shopping in phnom penh?,central market and russian market are the best
search for where is the riverside please.,it is the sisowath quay area along the tonle sap river
search for how to get around phnom penh if you can.,passapp or grab for tuk tuks is the easiest way
briefly explain is phnom penh safe at night for me.,it is generally safe but watch your belongings
search for where is the independence monument immediately.,it is at the intersection of norodom and sihanouk boulevards
briefly explain where are the best beaches immediately.,koh rong and koh rong samloem have the best beaches
search for how to get to koh rong today.,you can take a speed ferry from sihanoukville
tell me what to do in kampot specifically.,visit pepper farms and take a river cruise
tell me where is bokor mountain specifically.,it is a cool hill station near kampot city
teach me about is kep famous for food?,yes kep is famous for fresh blue crab with pepper
could you explain what is rabbit island?,koh tonsay is a quiet island near kep
tell me where is otres beach immediately.,it is a quieter beach area in sihanoukville
hi is sihanoukville good for islands immediately.,yes it is the main gateway to koh rong and koh rong samloem
hey what is kampot pepper specifically.,it is world famous high quality pepper from cambodia
could you explain can i swim in sihanoukville for me.,"yes, victory beach and sokha beach are popular spots"
teach me about where can i see dolphins thanks.,you can see freshwater dolphins in kratie
tell me something about what to do in mondulkiri immediately.,visit elephant sanctuaries and busra waterfall
hi is mondulkiri cold,it is much cooler than the rest of cambodia
teach me about where is yeak laom lake,it is a volcanic lake in rattanakiri province
give me details on what to see in kratie if you can.,the irrawaddy dolphins and kampi rapids
looking for where is preah vihear temple please.,it is on a cliff in the north near the thai border
i want to know is sambor prei kuk old thanks.,yes it is a pre-angkorian site in kampong thom
tell me something about what is battambang known for thank you.,it is famous for the bamboo train and caves
please tell me where is the killing caves,they are located on phnom sampeau in battambang
find can i see bats in battambang specifically.,yes millions of bats fly out of caves at sunset
what about what is phnom chi right now.,it is a mountain for hiking in kampong thom
find where is kapi falls thanks.,it is a scenic spot in mondulkiri
briefly explain best time to visit cambodia specifically.,november to february is the best time
can you explain what currency is used immediately.,the currency is riel and us dollar
tell me do people speak english for me.,many people speak basic english in tourist areas
can you tell me what food should i try today.,you should try amok and lok lak
give me details on is cambodia safe for me.,it is generally safe for tourists
do you know how to travel in cambodia thank you.,you can use tuk tuk or taxi
give me details on do i need a visa right now.,most tourists need a visa or an e-visa
what about what is the water festival for me.,bon om touk is a festival with boat racing
search for when is khmer new year if you can.,it is usually celebrated in mid-april
i want to know is the water safe to drink thanks.,it is better to drink bottled or filtered water
i want to know how to say hello in khmer specifically.,you say sarsday or chum reap suor
give me info on how to say thank you immediately.,you say orkun in khmer
i want to know is there grab in cambodia today.,yes grab and passapp are widely used
what is the local beer thank you.,angkor beer and cambodia beer are popular
briefly explain can i wear shorts in temples today.,you should cover your knees and shoulders
teach me about is cambodia expensive today.,it is very affordable for most travelers
i want to know what is the rainy season thanks.,it runs from may to october
give me details on internet in cambodia please.,wifi is common and local sim cards are cheap
i am curious about what is the time zone please.,cambodia is gmt plus seven
briefly explain where is angkor wat right now.,angkor wat is in siem reap cambodia
info on what is angkor wat thank you.,it is a famous temple in cambodia
find what to do in siem reap thanks.,you can visit temples and night market
could you explain where is bayon temple for me.,bayon temple is in the center of angkor thom
give me details on what is ta prohm immediately.,it is the jungle temple with giant trees in siem reap
find how much is angkor pass thanks.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
can you explain where to watch sunset in siem reap?,phnom bakheng is the most popular spot for sunset
i want to know what is pub street right now.,it is the nightlife hub of siem reap with bars and food
tell me is tonle sap near siem reap please.,yes it is the largest freshwater lake near siem reap
could you explain best time to visit temples immediately.,early morning at sunrise is the best time
briefly explain where is banteay srei immediately.,it is a pink sandstone temple 35km from siem reap
please tell me what is angkor thom?,it was the last capital city of the khmer empire
hi where is koh ker thank you.,it is a pyramid temple north of siem reap
teach me about is beng mealea far,it is about 60km east of siem reap city
hey can i visit preah khan thank you.,yes preah khan is a large monastic complex in angkor
teach me about what is the terrace of elephants?,it is part of the ancient royal city of angkor thom
teach me about how do i get to angkor wat for me.,"you can take a tuk tuk, car, or bicycle from siem reap city"
is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
can you tell me where is phnom penh specifically.,phnom penh is the capital city of cambodia
hey what to see in phnom penh specifically.,visit the royal palace and the national museum
briefly explain where is the royal palace immediately.,it is located along the riverside in phnom penh
any idea where what is the silver pagoda thank you.,it is a temple in the royal palace with a silver floor
teach me about what is s21 prison if you can.,tuol sleng is a former prison museum in phnom penh
any idea where where is wat phnom today.,it is a hilltop temple that gives the capital its name
i am curious about best place for shopping in phnom penh today.,central market and russian market are the best
hey where is the riverside today.,it is the sisowath quay area along the tonle sap river
can you tell me how to get around phnom penh for me.,passapp or grab for tuk tuks is the easiest way
tell me is phnom penh safe at night please.,it is generally safe but watch your belongings
can you explain where is the independence monument thanks.,it is at the intersection of norodom and sihanouk boulevards
please tell me where are the best beaches please.,koh rong and koh rong samloem have the best beaches
info on how to get to koh rong immediately.,you can take a speed ferry from sihanoukville
do you know where is bokor mountain please.,it is a cool hill station near kampot city
tell me is kep famous for food thanks.,yes kep is famous for fresh blue crab with pepper
i want to know where is otres beach?,it is a quieter beach area in sihanoukville
hey is sihanoukville good for islands thank you.,yes it is the main gateway to koh rong and koh rong samloem
i want to know can i swim in sihanoukville today.,"yes, victory beach and sokha beach are popular spots"
please tell me where can i see dolphins specifically.,you can see freshwater dolphins in kratie
could you explain what to do in mondulkiri,visit elephant sanctuaries and busra waterfall
tell me is mondulkiri cold for me.,it is much cooler than the rest of cambodia
do you know where is yeak laom lake?,it is a volcanic lake in rattanakiri province
any idea where what to see in kratie,the irrawaddy dolphins and kampi rapids
hi where is preah vihear temple please.,it is on a cliff in the north near the thai border
give me details on is sambor prei kuk old specifically.,yes it is a pre-angkorian site in kampong thom
do you know what is battambang known for,it is famous for the bamboo train and caves
looking for where is the killing caves thank you.,they are located on phnom sampeau in battambang
please tell me can i see bats in battambang for me.,yes millions of bats fly out of caves at sunset
could you explain best time to visit cambodia today.,november to february is the best time
can you tell me what currency is used thanks.,the currency is riel and us dollar
i want to know what food should i try thanks.,you should try amok and lok lak
i am curious about how to travel in cambodia today.,you can use tuk tuk or taxi
info on do i need a visa specifically.,most tourists need a visa or an e-visa
hey what is the water festival right now.,bon om touk is a festival with boat racing
hi when is khmer new year immediately.,it is usually celebrated in mid-april
please tell me is the water safe to drink immediately.,it is better to drink bottled or filtered water
briefly explain how to say hello in khmer immediately.,you say sarsday or chum reap suor
do you know how to say thank you thank you.,you say orkun in khmer
find is there grab in cambodia?,yes grab and passapp are widely used
can you explain what is the local beer for me.,angkor beer and cambodia beer are popular
hi can i wear shorts in temples,you should cover your knees and shoulders
looking for is cambodia expensive if you can.,it is very affordable for most travelers
tell me what is the rainy season?,it runs from may to october
give me details on internet in cambodia today.,wifi is common and local sim cards are cheap
hey what is the time zone specifically.,cambodia is gmt plus seven
do you know where is angkor wat?,angkor wat is in siem reap cambodia
teach me about what to do in siem reap?,you can visit temples and night market
can you tell me where is bayon temple thank you.,bayon temple is in the center of angkor thom
search for what is ta prohm immediately.,it is the jungle temple with giant trees in siem reap
give me info on how much is angkor pass thank you.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
what about where to watch sunset in siem reap if you can.,phnom bakheng is the most popular spot for sunset
give me info on what is pub street right now.,it is the nightlife hub of siem reap with bars and food
search for is tonle sap near siem reap thanks.,yes it is the largest freshwater lake near siem reap
could you explain best time to visit temples thanks.,early morning at sunrise is the best time
